codigo_produto,descricaoproduto,codigo_familia,preco_venda_unitario,custo_produto_unitario
3010814,Eco-Friendly Clothing Magenta #289,CSMC,419.9,261.82
3010816,Long-Lasting Clothing Black #661,CSMC,599.4,261.82
3010817,Innovative Clothing Gold #727,CSMC,599.4,261.82
3010818,Luxurious Clothing White #691,CSMC,599.4,261.82
3010819,Long-Lasting Clothing Navy #693,CSMC,599.4,261.82
3010820,Fun Clothing Blue #298,CSMC,599.4,261.82
3011108,Useful Musical Instruments Purple #714,CS  ,679.9,254.4
3011109,Modern Musical Instruments Purple #987,CS  ,679.9,254.4
3011110,Versatile Musical Instruments Olive #611,CS  ,679.9,254.4
3011111,Stylish Musical Instruments White #874,CS  ,679.9,254.4
3011112,Powerful Musical Instruments Blue #369,CS  ,679.9,254.4
3011113,Sustainable Musical Instruments Blue #822,CS  ,679.9,254.4
3011114,Eco-Friendly Musical Instruments Gray #130,CS  ,679.9,254.4
3011301,Durable Musical Instruments Gold #614,CS  ,279.9,174.55
3011302,Modern Musical Instruments Lime #800,CS  ,279.9,174.55
3011305,Elegant Musical Instruments Magenta #642,CS  ,279.9,174.55
3011308,Long-Lasting Musical Instruments Silver #512,CS  ,229.9,174.55
3011311,Stylish Musical Instruments Lime #797,CS  ,229.9,174.55
3011312,Beautiful Musical Instruments Red #922,CS  ,229.9,174.55
3011420,Innovative Musical Instruments Black #755,CS  ,269.9,125.72
3011700,Stylish Flooring Green #890,CSF ,599.4,261.82
3011701,Sophisticated Flooring Purple #115,CSF ,599.4,261.82
3011702,Fun Flooring Blue #230,CSF ,599.4,261.82
3011703,Luxurious Flooring Maroon #331,CSF ,599.4,261.82
3011704,Stylish Flooring Purple #839,CSF ,599.4,261.82
3011705,Modern Flooring Navy #325,CSF ,599.4,261.82
3011706,Elegant Flooring Teal #229,CSF ,599.4,261.82
3011709,Versatile Flooring Silver #253,CSF ,599.4,261.82
3011710,Elegant Flooring Red #70,CSF ,599.4,261.82
3011711,Eco-Friendly Flooring Red #18,CSF ,599.4,261.82
3011720,Luxurious Flooring Navy #806,CSF ,599.4,261.82
3011722,Elegant Flooring Lime #439,CSF ,599.4,261.82
3011725,Long-Lasting Flooring Magenta #280,CSF ,599.4,261.82
3011728,Comfortable Flooring Navy #272,CSF ,599.4,261.82
3011729,Comfortable Flooring Pink #172,CSF ,599.4,261.82
3011800,Powerful Flooring Silver #813,CSF ,279.9,174.55
3011801,Fun Flooring Black #372,CSF ,279.9,174.55
3011811,Elegant Flooring Green #729,CSF ,299.9,174.55
3011812,Long-Lasting Flooring Gold #287,CSF ,299.9,174.55
3011813,Elegant Flooring Navy #401,CSF ,299.9,174.55
3011814,Elegant Flooring Maroon #3,CSF ,299.9,174.55
3011815,Beautiful Flooring Maroon #101,CSF ,299.9,174.55
3011816,Sustainable Flooring Brown #855,CSF ,299.9,174.55
3011817,Practical Flooring Red #96,CSF ,299.9,174.55
3011822,Comfortable Flooring White #640,CSF ,279.9,174.55
3011823,Sustainable Flooring Lime #708,CSF ,279.9,174.55
3011824,Eco-Friendly Flooring Orange #283,CSF ,279.9,174.55
3011911,Useful Flooring Gold #191,CSF ,399.6,174.55
3012103,Fun Flooring Orange #778,CSF ,630,275.18
3012104,Powerful Flooring Brown #893,CSF ,630,275.19
3012107,Modern Flooring Navy #755,CSF ,629.4,274.92
3012108,Luxurious Flooring Yellow #306,CSF ,629.4,274.92
3012110,Stylish Flooring Black #428,CSF ,629.4,274.92
3012112,Sophisticated Flooring Lime #345,CSF ,629.4,274.92
3012123,Versatile Flooring Gold #189,CSF ,502.9,274.92
3012126,Eco-Friendly Flooring Black #703,CSF ,502.9,274.92
3012130,Fun Flooring Silver #549,CSF ,629.4,274.92
3012133,Comfortable Flooring Blue #207,CSF ,629.4,274.92
3012134,Powerful Flooring Cyan #405,CSF ,629.4,216
3012300,Comfortable Musical Instruments Yellow #836,CS  ,464.9,283.64
3012303,Sophisticated Musical Instruments Navy #29,CS  ,464.9,283.64
3012305,Sophisticated Musical Instruments Green #213,CS  ,464.9,283.64
3012307,Elegant Musical Instruments Silver #707,CS  ,464.9,261.82
3012308,Practical Musical Instruments Yellow #559,CS  ,464.9,283.64
3012309,Sophisticated Musical Instruments Teal #320,CS  ,464.9,283.64
3012313,Long-Lasting Musical Instruments Silver #471,CS  ,464.9,261.82
3012400,Stylish Musical Instruments Olive #31,CS  ,449.9,261.82
3012403,Useful Musical Instruments Navy #835,CS  ,449.9,261.82
3012408,Elegant Musical Instruments Cyan #72,CS  ,499.9,261.82
3012411,Sustainable Musical Instruments Brown #349,CS  ,499.9,261.82
3012413,Delicious Musical Instruments Green #873,CS  ,499.9,261.82
3012414,High-Quality Musical Instruments Silver #185,CS  ,499.9,261.82
3012416,Luxurious Musical Instruments Purple #425,CS  ,499.9,261.82
3012418,Fun Musical Instruments Orange #542,CS  ,499.9,262.08
3012500,High-Quality Musical Instruments Magenta #403,CS  ,629.4,274.92
3012503,Delicious Musical Instruments Black #274,CS  ,629.4,274.92
3012505,Comfortable Musical Instruments Brown #22,CS  ,629.4,274.92
3012507,High-Quality Musical Instruments Brown #986,CS  ,629.4,274.92
3012510,Long-Lasting Musical Instruments Lime #179,CS  ,498.9,274.92
3012513,Stylish Musical Instruments Gold #492,CS  ,498.9,274.92
3012516,Long-Lasting Musical Instruments Silver #203,CS  ,569.9,274.92
3012517,Fun Musical Instruments Cyan #985,CS  ,569.9,274.92
3012518,High-Quality Musical Instruments Brown #444,CS  ,569.9,274.92
3012520,Powerful Musical Instruments Maroon #690,CS  ,569.9,274.92
3012521,Durable Musical Instruments Olive #734,CS  ,569.9,274.92
3012522,Beautiful Musical Instruments White #842,CS  ,569.9,274.92
3012601,Long-Lasting Musical Instruments Yellow #438,CS  ,299.9,164.99
3012602,Useful Musical Instruments White #633,CS  ,299.9,164.99
3012604,Practical Musical Instruments Purple #380,CS  ,299.9,164.99
3012606,Stylish Musical Instruments Blue #538,CS  ,299.9,164.99
3012607,Eco-Friendly Musical Instruments Blue #24,CS  ,449.9,188.58
3012608,Long-Lasting Musical Instruments Navy #94,CS  ,449.9,188.58
3012609,Versatile Musical Instruments Gold #488,CS  ,449.9,188.58
3012612,Powerful Musical Instruments Blue #69,CS  ,449.9,188.58
3012613,Durable Musical Instruments Purple #30,CS  ,449.9,188.58
3012615,Luxurious Musical Instruments Orange #200,CS  ,449.9,188.58
3012618,Delicious Musical Instruments Orange #701,CS  ,449.9,188.58
3012620,Comfortable Musical Instruments Green #999,CS  ,449.9,188.58
3012623,Sophisticated Musical Instruments Cyan #759,CS  ,299.9,188.58
3012625,Comfortable Musical Instruments Blue #628,CS  ,299.9,188.58
3012628,Useful Musical Instruments Silver #402,CS  ,299.9,188.58
3012631,Durable Musical Instruments Purple #958,CS  ,299.9,188.58
3012633,Durable Musical Instruments Blue #476,CS  ,299.9,188.58
3012634,Innovative Musical Instruments Black #734,CS  ,299.9,188.58
3012700,Sophisticated Musical Instruments Silver #629,CS  ,229.9,167.62
3012704,Stylish Musical Instruments Purple #965,CS  ,229.9,167.62
3012705,Modern Musical Instruments Purple #620,CS  ,229.9,167.62
3012709,Modern Musical Instruments White #286,CS  ,249.9,167.62
3012811,Modern Musical Instruments Magenta #580,CS  ,639.9,336
3012814,Delicious Musical Instruments White #289,CS  ,759.9,336
3012818,Luxurious Musical Instruments Cyan #239,CS  ,759.9,336
3012819,Delicious Musical Instruments Pink #417,CS  ,759.9,336
3013503,Durable Musical Instruments Maroon #284,CS  ,339.9,108.95
3013506,Sophisticated Musical Instruments Blue #719,CS  ,339.9,108.95
3013510,Elegant Musical Instruments Blue #815,CS  ,229.9,146.66
3013511,Comfortable Musical Instruments Maroon #425,CS  ,229.9,146.66
3013514,High-Quality Musical Instruments Orange #682,CS  ,229.9,146.66
3013515,Innovative Musical Instruments White #673,CS  ,229.9,146.66
3013607,Sophisticated Flooring Purple #730,CSF ,329.9,180.2
3013700,Versatile Home Decor Yellow #707,CSFC,424.9,261.82
3013701,Innovative Home Decor Silver #430,CSFC,424.9,261.82
3013705,Stylish Home Decor Silver #936,CSFC,424.9,261.82
3013800,Fun Musical Instruments Cyan #627,CS  ,649.3,283.64
3013801,Practical Musical Instruments White #940,CS  ,649.3,283.64
3013802,Elegant Musical Instruments Red #106,CS  ,649.3,283.64
3013803,High-Quality Musical Instruments Navy #140,CS  ,649.3,283.64
3013804,Useful Musical Instruments Orange #333,CS  ,649.3,283.64
3013806,Useful Musical Instruments White #44,CS  ,649.3,283.64
3014000,Versatile Musical Instruments Red #792,CS  ,429.9,218.19
3014001,Long-Lasting Musical Instruments Navy #206,CS  ,429.9,231.27
3014004,Elegant Musical Instruments Orange #836,CS  ,429.9,231.27
3014005,Innovative Musical Instruments Maroon #993,CS  ,429.9,231.27
3014007,Sophisticated Musical Instruments Yellow #34,CS  ,429.9,231.27
3014019,Sophisticated Musical Instruments White #502,CS  ,499.5,182.4
3014111,Useful Clothing Purple #336,CSMC,644.9,336
3019100,Durable Household Goods Gray #249,DLR ,13.4,7.1
3023203,Innovative Pet Food Silver #818,67  ,1.53,0.59
3023900,Practical Earrings Cyan #360,60  ,5.65,2.39
3027606,Long-Lasting Beauty Products Red #960,CAMF,88.5,31.49
3027607,Practical Beauty Products Navy #789,CAMF,88.5,31.49
3027617,High-Quality Beauty Products Blue #190,CAMF,88.5,31.49
3027618,Elegant Beauty Products Black #630,CAMF,88.5,36.33
3027900,Useful Beauty Products Olive #3,CAMF,104.7,44.57
3027908,Practical Beauty Products Cyan #561,CAMF,89.9,45.18
3027909,Sophisticated Beauty Products Lime #943,CAMF,89.9,45.18
3027913,Sophisticated Beauty Products Blue #353,CAMF,89.9,45.18
3027915,Durable Beauty Products Navy #544,CAMF,89.9,45.19
3027916,Practical Beauty Products Magenta #181,CAMF,89.9,45.18
3027917,Sophisticated Beauty Products Lime #140,CAMF,89.9,45.18
3027920,Comfortable Beauty Products Teal #720,CAMF,89.9,45.18
3030101,Practical Security Green #835,CSA ,150.5,86
3030102,Innovative Security Gray #38,CSA ,150.5,86
3030104,Useful Security Maroon #712,CSA ,150.5,86
3031801,Practical Flooring Brown #196,CSF ,329.9,138.29
3031805,Powerful Flooring Yellow #625,CSF ,329.9,138.29
3031806,Comfortable Flooring Lime #193,CSF ,329.9,138.29
3031807,High-Quality Flooring Purple #433,CSF ,329.9,138.29
3031808,Comfortable Flooring Cyan #582,CSF ,329.9,138.29
3031810,Useful Flooring Orange #102,CSF ,329.9,138.29
3031901,Versatile Flooring Black #462,CSF ,599.4,261.82
3031902,Eco-Friendly Flooring Purple #710,CSF ,599.4,261.82
3031908,High-Quality Flooring Pink #132,CSF ,474.9,261.82
3031909,Eco-Friendly Flooring Green #327,CSF ,474.9,261.82
3031911,Beautiful Flooring Magenta #319,CSF ,474.9,261.82
3031913,High-Quality Flooring Navy #236,CSF ,474.9,261.82
3032002,High-Quality Flooring Green #483,CSF ,429.9,261.82
3032008,Beautiful Flooring Teal #333,CSF ,429.9,261.82
3032009,High-Quality Flooring Cyan #168,CSF ,429.9,261.82
3032011,Sustainable Flooring Magenta #992,CSF ,429.9,261.82
3032200,Fun Flooring Purple #311,CSF ,339.9,167.62
3032203,Sophisticated Flooring Gold #657,CSF ,339.9,167.62
3032213,Practical Flooring Gray #14,CSF ,339.9,167.62
3032218,Modern Flooring White #108,CSF ,399.9,167.62
3032221,Elegant Flooring Blue #106,CSF ,399.9,167.62
3032222,High-Quality Flooring Teal #23,CSF ,399.9,167.62
3032301,Elegant Flooring Cyan #354,CSF ,699.9,349.1
3032302,Sustainable Flooring Brown #159,CSF ,699.9,349.09
3032304,Innovative Flooring White #484,CSF ,699.9,349.1
3032305,Comfortable Flooring Brown #73,CSF ,699.9,349.1
3032307,Useful Flooring Black #342,CSF ,664.9,349.1
3032311,Beautiful Flooring Orange #357,CSF ,664.9,349.1
3032401,Long-Lasting Flooring Magenta #270,CSF ,389.9,261.82
3032403,Delicious Flooring Olive #879,CSF ,389.9,261.82
3032500,Sustainable Home Decor Magenta #219,CSFC,559.9,349.1
3032501,Elegant Home Decor Maroon #555,CSFC,559.9,349.1
3032502,Versatile Home Decor White #671,CSFC,559.9,349.1
3032503,Elegant Home Decor Black #778,CSFC,559.9,349.1
3032504,Sustainable Home Decor Magenta #647,CSFC,559.9,349.1
3032505,Innovative Home Decor White #778,CSFC,559.9,349.1
3032506,Eco-Friendly Home Decor Purple #799,CSFC,799.2,349.1
3032508,Powerful Home Decor Red #578,CSFC,799.2,349.1
3032600,Long-Lasting Flooring Silver #494,CSF ,649.3,283.64
3032602,Elegant Flooring Black #668,CSF ,649.3,283.64
3032701,Eco-Friendly Musical Instruments Black #190,CS  ,499.9,261.82
3032702,Comfortable Musical Instruments Cyan #189,CS  ,499.9,261.82
3032704,Sophisticated Musical Instruments Orange #9,CS  ,499.9,261.82
3032705,Delicious Musical Instruments Silver #184,CS  ,499.9,261.82
3032909,Beautiful Musical Instruments Maroon #244,CS  ,499.9,209.53
3032911,Durable Musical Instruments Purple #252,CS  ,499.9,209.53
3032922,Powerful Musical Instruments Red #46,CS  ,499.9,209.53
3032924,Luxurious Musical Instruments Olive #322,CS  ,499.9,209.53
3032927,Sustainable Musical Instruments Red #897,CS  ,499.9,209.53
3032928,Innovative Musical Instruments Lime #396,CS  ,499.9,209.53
3034200,Comfortable Flooring Cyan #690,CSF ,499.9,209.53
3034201,Elegant Flooring Pink #59,CSF ,499.9,209.53
3034202,Elegant Flooring Orange #799,CSF ,499.9,209.53
3034204,Sustainable Flooring Lime #705,CSF ,499.9,209.53
3034206,Luxurious Flooring Cyan #129,CSF ,499.9,209.53
3034207,Modern Flooring Cyan #377,CSF ,499.9,209.53
3034208,Long-Lasting Flooring Red #418,CSF ,499.9,209.53
3034211,Stylish Flooring Cyan #766,CSF ,499.9,209.53
3034224,Delicious Flooring Gold #916,CSF ,499.9,209.53
3034301,Stylish Home Decor Magenta #835,CSFC,659.9,340.37
3034302,Comfortable Home Decor Gold #500,CSFC,659.9,340.37
3034303,Stylish Home Decor Orange #179,CSFC,659.9,340.37
3034305,Practical Home Decor Cyan #186,CSFC,659.9,340.37
3034401,Sustainable Clothing Orange #634,CSMC,499.9,349.1
3034402,Versatile Clothing Purple #702,CSMC,499.9,349.09
3034403,Eco-Friendly Clothing Blue #108,CSMC,499.9,349.09
3034404,Delicious Clothing Pink #745,CSMC,499.9,349.1
3034409,Luxurious Clothing Silver #414,CSMC,569.9,349.09
3034411,Durable Clothing Teal #312,CSMC,569.9,349.1
3034501,Beautiful Home Decor Gold #564,CSFC,499.9,327.27
3034502,Luxurious Home Decor Orange #279,CSFC,499.9,327.27
3034503,Practical Home Decor Green #598,CSFC,499.9,327.27
3034504,Innovative Home Decor Silver #408,CSFC,499.9,327.27
3034602,Versatile Flooring Silver #388,CSF ,499.9,209.53
3034603,Stylish Flooring Purple #170,CSF ,499.9,209.53
3034607,Comfortable Flooring Red #637,CSF ,419.9,209.53
3034609,Elegant Flooring Orange #888,CSF ,419.9,209.53
3034610,Innovative Flooring Maroon #339,CSF ,419.9,209.53
3034611,Luxurious Flooring Gold #946,CSF ,419.9,209.53
3034613,Comfortable Flooring Maroon #818,CSF ,499.9,209.53
3034614,Useful Flooring Maroon #24,CSF ,499.9,209.53
3034615,Powerful Flooring Gray #399,CSF ,499.9,209.53
3034617,Powerful Flooring Gold #305,CSF ,499.9,209.53
3034621,Sophisticated Flooring Magenta #814,CSF ,422.9,209.53
3034623,Practical Flooring Lime #813,CSF ,422.9,209.53
3034627,Powerful Flooring White #321,CSF ,429.9,209.53
3034628,Eco-Friendly Flooring Purple #684,CSF ,429.9,209.53
3034705,Powerful Musical Instruments Maroon #753,CS  ,499.9,209.53
3034706,Powerful Musical Instruments Green #898,CS  ,499.9,209.53
3034708,Sophisticated Musical Instruments Red #385,CS  ,499.9,209.53
3034710,Fun Musical Instruments Maroon #81,CS  ,499.9,209.53
3034711,Practical Musical Instruments Maroon #53,CS  ,499.9,209.53
3034715,Versatile Musical Instruments Navy #547,CS  ,499.9,209.53
3034801,Practical Home Decor Olive #599,CSFC,339.9,159.25
3034802,Stylish Home Decor Black #85,CSFC,339.9,159.25
3035004,Durable Musical Instruments Red #843,CS  ,329.9,138.29
3035005,Versatile Musical Instruments Red #662,CS  ,329.9,138.29
3035007,Delicious Musical Instruments Purple #427,CS  ,329.9,138.29
3035008,Eco-Friendly Musical Instruments Magenta #402,CS  ,329.9,138.29
3035009,Versatile Musical Instruments Pink #172,CS  ,329.9,138.29
3035012,Durable Musical Instruments White #609,CS  ,329.9,138.29
3035017,Durable Musical Instruments Cyan #976,CS  ,329.9,138.29
3035019,Comfortable Musical Instruments White #305,CS  ,329.9,138.29
3035020,Powerful Musical Instruments Pink #466,CS  ,329.9,138.29
3035100,Sustainable Construction Equipment Cyan #376,SFS ,259.9,125.72
3035101,Versatile Construction Equipment Gray #629,SFS ,259.9,125.72
3035104,Luxurious Construction Equipment Teal #530,SFS ,259.9,125.72
3035105,Durable Construction Equipment Black #257,SFS ,259.9,125.72
3035108,Long-Lasting Construction Equipment Brown #190,SFS ,179.9,125.72
3035200,Powerful Flooring Gold #132,CSF ,499.9,261.82
3035203,Stylish Flooring Magenta #544,CSF ,499.9,201.6
3035204,Delicious Flooring Olive #660,CSF ,499.9,201.6
3035300,Practical Musical Instruments Lime #617,CS  ,649.3,283.64
3035303,Innovative Musical Instruments Gray #641,CS  ,649.3,220.8
3035305,High-Quality Musical Instruments Blue #581,CS  ,649.3,220.8
3035306,Innovative Musical Instruments Green #277,CS  ,649.3,283.64
3035307,Innovative Musical Instruments White #882,CS  ,649.3,283.64
3035308,Modern Musical Instruments Black #729,CS  ,649.3,283.64
3035309,Luxurious Musical Instruments Navy #912,CS  ,649.3,283.64
3035310,Sophisticated Musical Instruments Black #153,CS  ,649.3,283.64
3035312,Sophisticated Musical Instruments Red #537,CS  ,649.3,283.64
3035313,Long-Lasting Musical Instruments Orange #27,CS  ,649.3,283.64
3035400,Innovative Home Decor White #594,CSFC,399.9,188.58
3035401,Powerful Home Decor Maroon #158,CSFC,399.9,188.58
3035404,Useful Home Decor Olive #55,CSFC,399.9,188.58
3035405,Comfortable Home Decor Pink #723,CSFC,399.9,188.58
3035409,Modern Home Decor Silver #957,CSFC,449.9,188.58
3035410,Powerful Home Decor Yellow #637,CSFC,449.9,188.58
3035412,Sustainable Home Decor Maroon #944,CSFC,449.9,188.58
3035500,Innovative Musical Instruments Gray #682,CS  ,294.9,146.67
3035502,Fun Musical Instruments Black #918,CS  ,294.9,146.67
3035503,Eco-Friendly Musical Instruments Black #30,CS  ,294.9,146.67
3035600,Elegant Clothing Blue #728,CSMC,299.9,188.58
3035604,Long-Lasting Clothing Orange #50,CSMC,299.9,188.58
3035605,Versatile Clothing Magenta #324,CSMC,299.9,188.58
3035610,Long-Lasting Clothing Gold #759,CSMC,449.9,188.58
3035612,Sophisticated Clothing Purple #88,CSMC,449.9,188.58
3035616,Beautiful Clothing Brown #743,CSMC,449.9,140.8
3035617,Comfortable Clothing White #288,CSMC,449.9,140.8
3035619,Practical Clothing Red #947,CSMC,449.9,140.8
3035620,Practical Clothing Brown #745,CSMC,449.9,140.8
3035624,Eco-Friendly Clothing Magenta #908,CSMC,449.9,188.58
3037100,Comfortable Furniture Olive #910,63  ,837,421.04
3037300,Luxurious Furniture Red #916,63  ,989.1,497.54
3038400,Fun Watches Lime #517,43  ,4865.9,2949.01
3042812,Eco-Friendly Musical Instruments Lime #660,CS  ,599.4,261.82
3042813,Stylish Musical Instruments Yellow #689,CS  ,599.4,261.82
3042815,Elegant Musical Instruments Lime #249,CS  ,599.4,261.82
3043002,Luxurious Clothing Silver #441,CSMC,419.9,254.4
3043004,Powerful Clothing Gold #470,CSMC,419.9,254.4
3043009,Elegant Clothing Gray #456,CSMC,749.2,254.4
3043010,Eco-Friendly Clothing Magenta #912,CSMC,749.2,327.27
3043011,Comfortable Clothing Lime #61,CSMC,749.2,254.4
3043012,Durable Clothing White #37,CSMC,749.2,254.4
3043013,Sophisticated Clothing Blue #84,CSMC,749.2,327.27
3043017,Powerful Clothing Red #622,CSMC,749.2,327.27
3043018,Elegant Clothing Olive #475,CSMC,749.2,327.27
3043019,High-Quality Clothing Maroon #448,CSMC,749.2,327.27
3043023,Practical Clothing Blue #754,CSMC,749.2,327.28
3043024,Useful Clothing Black #581,CSMC,749.2,327.27
3044101,Eco-Friendly Bracelets Gray #297,27  ,292.55,131.25
3044201,Fun Hobbies Gray #484,1   ,393,199.67
3044800,Comfortable Consoles Black #17,CTR ,2,0.93
3048900,Modern Sports Equipment Pink #615,3333,19533,8398.75
3050003,Luxurious Vehicle Accessories Gold #704,FR  ,59,30.76
3050200,Useful Beverages Navy #396,ELE ,254,110.55
3051601,Fun Watches Brown #175,18  ,30.6,13.34
3051603,Fun Watches White #388,18  ,30.6,13.34
3052901,Fun Pet Supplies Gray #318,MCAT,208.8,93.65
3052902,Elegant Pet Supplies Teal #839,MCAT,208.8,93.65
3053002,Elegant Pet Supplies Green #784,MCAT,150.2,67.31
3054501,Long-Lasting Vehicle Accessories Gold #57,FR  ,71.3,39.43
3054900,Versatile Bracelets Blue #579,27  ,349.9,149.6
3055001,Long-Lasting Bracelets Purple #407,27  ,376.6,151.87
3056100,Elegant Sports Equipment White #597,3333,17510,10916.82
3056900,Sustainable Creativity Pink #920,75  ,1130,624.72
3058300,Powerful Home Appliances Black #178,26  ,149,68.67
3058709,Versatile Clothing Brown #469,CSMC,676.7,288
3058712,Luxurious Clothing Olive #993,CSMC,676.7,288
3060400,Eco-Friendly Marine Supplies Orange #719,35  ,109.9,78.01
3060701,Durable Necklaces Red #600,190 ,23,13.15
3060702,Useful Necklaces Navy #121,190 ,23,13.15
3060800,Sophisticated Tires and Wheels Yellow #980,DAL ,7.25,3.15
3064600,Luxurious Sports Equipment Red #163,3333,9999.9,6990
3065000,Comfortable Home Appliances Purple #577,26  ,336,154.6
3065705,Sophisticated Beauty Products Brown #263,CAMF,123.1,52.37
3065706,Innovative Beauty Products White #906,CAMF,129.5,55.09
3065710,Versatile Beauty Products Gold #906,CAMF,129.5,55.09
3065712,Stylish Beauty Products Cyan #59,CAMF,129.5,55.09
3065714,Durable Beauty Products Magenta #42,CAMF,129.5,55.09
3065715,Fun Beauty Products Navy #387,CAMF,129.5,55.09
3065717,Comfortable Beauty Products Gray #154,CAMF,129.5,55.09
3065900,Durable Beauty Products Brown #50,CAMF,114.9,54.72
3065901,Long-Lasting Beauty Products Maroon #766,CAMF,114.9,54.72
3065902,Sustainable Beauty Products Yellow #801,CAMF,114.9,55.88
3065905,Modern Beauty Products Brown #630,CAMF,114.9,55.88
3065906,Comfortable Beauty Products Lime #221,CAMF,114.9,55.88
3065908,Eco-Friendly Beauty Products Black #147,CAMF,114.9,55.88
3065910,Useful Beauty Products Red #15,CAMF,114.9,55.88
3065911,Luxurious Beauty Products Olive #724,CAMF,114.9,55.88
3065912,Modern Beauty Products Magenta #155,CAMF,114.9,55.88
3066002,Luxurious Beauty Products Brown #806,CAMF,123.1,52.37
3066003,Useful Beauty Products Orange #125,CAMF,123.1,52.37
3066004,Durable Beauty Products Pink #173,CAMF,123.1,52.37
3066008,Fun Beauty Products Magenta #78,CAMF,69.9,54.72
3066009,High-Quality Beauty Products Blue #773,CAMF,69.9,54.72
3066010,Useful Beauty Products Silver #954,CAMF,69.9,54.72
3066011,Powerful Beauty Products Gray #710,CAMF,69.9,54.72
3066012,Useful Beauty Products Brown #663,CAMF,69.9,54.72
3066101,Sustainable Beauty Products Pink #694,CAMF,64.9,43.91
3066103,Delicious Beauty Products Black #733,CAMF,64.9,43.91
3066105,Beautiful Beauty Products Green #47,CAMF,64.9,43.91
3067200,Elegant Toys Pink #686,APDP,289.9,190.73
3070200,Fun Earrings White #832,60  ,2,0.6
3070301,Long-Lasting Video Games Pink #649,CCSM,180,75.43
3070305,Modern Video Games Yellow #384,CCSM,180,75.43
3070308,Modern Video Games Blue #162,CCSM,180,75.43
3070313,Practical Video Games Lime #906,CCSM,180,75.44
3070314,Innovative Video Games Orange #834,CCSM,180,75.44
3070316,Durable Video Games Silver #826,CCSM,180,75.43
3070323,High-Quality Video Games Silver #391,CCSM,180,75.43
3070324,Powerful Video Games Gray #29,CCSM,180,75.43
3070325,Luxurious Video Games Purple #873,CCSM,180,75.43
3070327,Stylish Video Games Navy #727,CCSM,180,75.43
3070503,Innovative Video Games Gray #474,CCSM,200,83.81
3070507,Useful Video Games Navy #324,CCSM,200,83.81
3070509,Useful Video Games Red #665,CCSM,200,83.81
3070514,Long-Lasting Video Games Blue #174,CCSM,200,83.81
3070515,Sophisticated Video Games Yellow #177,CCSM,200,83.81
3070518,Long-Lasting Video Games Purple #117,CCSM,200,83.81
3070521,Beautiful Video Games Pink #571,CCSM,200,83.81
3070602,Modern Office Supplies Pink #155,CCSF,180,75.43
3070604,Modern Office Supplies Magenta #832,CCSF,180,75.43
3070607,Versatile Office Supplies Purple #373,CCSF,180,75.43
3070611,Modern Office Supplies Blue #760,CCSF,180,75.43
3070612,Eco-Friendly Office Supplies Maroon #695,CCSF,180,75.43
3070613,Elegant Office Supplies Magenta #85,CCSF,180,75.43
3070616,Durable Office Supplies Yellow #679,CCSF,180,75.43
3070618,Fun Office Supplies Cyan #417,CCSF,180,75.44
3070619,Luxurious Office Supplies Green #532,CCSF,180,75.43
3070620,Eco-Friendly Office Supplies Gray #675,CCSF,180,75.43
3070622,Comfortable Office Supplies Maroon #331,CCSF,180,75.43
3070623,Useful Office Supplies Pink #902,CCSF,180,75.43
3070624,High-Quality Office Supplies Maroon #413,CCSF,180,75.43
3070625,Luxurious Office Supplies Gray #186,CCSF,180,75.43
3070628,Luxurious Office Supplies Cyan #408,CCSF,180,75.43
3070629,Luxurious Office Supplies Black #175,CCSF,180,75.43
3070631,Powerful Office Supplies Gold #369,CCSF,180,75.43
3070632,Innovative Office Supplies Purple #376,CCSF,180,75.43
3070633,Delicious Office Supplies White #379,CCSF,180,75.43
3070634,Useful Office Supplies Orange #386,CCSF,180,75.43
3070701,Elegant Office Supplies Black #34,CCSF,200,83.81
3070704,Fun Office Supplies Blue #291,CCSF,200,83.81
3070707,Delicious Office Supplies Cyan #715,CCSF,200,83.81
3070711,Powerful Office Supplies Yellow #506,CCSF,200,83.81
3070713,Luxurious Office Supplies Cyan #417,CCSF,200,83.81
3070714,Elegant Office Supplies Navy #258,CCSF,200,83.81
3070715,Long-Lasting Office Supplies Lime #450,CCSF,200,83.81
3070716,Elegant Office Supplies Orange #274,CCSF,200,83.81
3070718,Long-Lasting Office Supplies Silver #200,CCSF,200,83.81
3070719,Versatile Office Supplies Pink #130,CCSF,200,83.81
3070725,Useful Office Supplies Lime #74,CCSF,200,83.81
3070730,Modern Office Supplies Navy #176,CCSF,200,83.81
3070800,Comfortable Musical Accessories Black #91,MP  ,6479.4,3082.61
3071300,Elegant Beauty Products Purple #782,CAMF,84.9,50.34
3071302,Luxurious Beauty Products Gold #275,CAMF,84.9,50.34
3071303,Stylish Beauty Products Teal #785,CAMF,84.9,50.34
3071402,Delicious Beauty Products Teal #260,CAMF,44.9,41.51
3071405,High-Quality Beauty Products Teal #74,CAMF,44.9,41.51
3071406,High-Quality Beauty Products Lime #28,CAMF,44.9,41.51
3076200,Modern Tires and Wheels Green #207,DAL ,10.4,4.54
3076700,Luxurious Vehicle Accessories Pink #301,FR  ,61.6,36.6
3077400,Sophisticated Security Teal #686,CSA ,144.7,82.64
3080500,Elegant Tires and Wheels Green #875,DAL ,37,16.15
3082500,Eco-Friendly Home Appliances Green #366,26  ,199.9,115.1
3082603,Elegant Flooring Lime #516,CSF ,492.1,209.45
